Episode,Score,Total_Reward,Pieces_Placed,Epsilon
317,0,-290.9,40,0.529
318,100,-233.4,36,0.528
319,0,-459.5,32,0.527
320,0,-312.2,32,0.526
321,0,-612.7,38,0.525
322,100,-676.4,42,0.524
323,0,-414.5,28,0.523
324,0,-253.7,21,0.522
325,300,-312.7,45,0.521
326,0,-299.4,29,0.52
327,0,-247.4,33,0.519
328,0,-538.2,42,0.518
329,0,-138.3,24,0.517
330,0,-298.4,20,0.515
331,0,-332.5,34,0.514
332,300,-243.8,46,0.513
333,0,-280.2,27,0.512
334,0,-559.3,33,0.511
335,0,-278.2,38,0.51
336,0,-344.1,30,0.509
337,0,-642.5,37,0.508
338,0,-184.8,34,0.507
339,0,-374.3,25,0.506
340,0,-419.9,38,0.505
341,0,-282.0,32,0.504
342,300,-290.8,42,0.503
343,100,-454.8,49,0.502
344,200,-162.7,30,0.501
345,100,-357.1,35,0.5
346,0,-462.0,38,0.499
347,300,-480.8,50,0.498
348,200,-321.9,48,0.497
349,0,-194.1,29,0.496
350,0,-251.3,36,0.495
351,300,-123.5,30,0.494
352,0,-190.3,30,0.493
353,200,-154.6,31,0.492
354,100,-538.8,37,0.491
355,0,-528.7,35,0.49
356,0,-438.4,32,0.489
357,0,-258.7,35,0.488
358,200,-273.0,50,0.487
359,0,-193.8,23,0.486
360,0,-456.3,41,0.485
361,100,-221.7,35,0.484
362,0,-250.9,33,0.483
363,100,-449.2,45,0.483
364,0,-190.9,31,0.482
365,0,-316.8,32,0.481
366,500,-320.3,52,0.48
367,0,-437.9,36,0.479
368,0,-392.6,30,0.478
369,100,-231.5,31,0.477
370,0,-436.5,33,0.476
371,0,-616.5,41,0.475
372,200,-451.2,41,0.474
373,200,-144.0,28,0.473
374,0,-646.2,26,0.472
375,100,-178.0,38,0.471
376,0,-251.8,27,0.47
377,0,-304.7,39,0.469
378,0,-322.0,32,0.468
379,0,-375.6,40,0.467
380,0,-442.8,35,0.466
381,0,-491.0,30,0.465
382,0,-486.4,39,0.465
383,0,-347.9,31,0.464
384,0,-333.0,33,0.463
385,100,-206.6,41,0.462
386,0,-205.8,28,0.461
387,0,-306.1,33,0.46
388,0,-316.9,35,0.459
389,0,-217.0,33,0.458
390,0,-292.3,32,0.457
391,200,-343.9,48,0.456
392,100,-362.9,38,0.455
393,100,-340.7,42,0.454
394,400,-325.1,54,0.453
395,200,-221.8,38,0.453
396,200,-413.1,51,0.452
397,0,-324.9,33,0.451
398,200,-544.1,46,0.45
399,200,-350.0,38,0.449
400,300,-531.2,54,0.448
401,0,-257.9,31,0.447
402,100,-159.1,41,0.446
403,100,-702.6,40,0.445
404,200,-293.1,49,0.444
405,0,-397.5,35,0.444
406,0,-365.1,34,0.443
407,400,-679.9,53,0.442
408,0,-322.9,32,0.441
409,0,-204.7,34,0.44
410,100,-376.1,46,0.439
411,300,-321.3,50,0.438
412,100,-406.7,45,0.437
413,0,-424.5,38,0.437
414,0,-308.4,31,0.436
415,100,-270.6,34,0.435
416,300,-235.0,47,0.434
417,0,-291.4,29,0.433
418,200,-397.7,40,0.432
419,100,-144.4,18,0.431
420,400,-143.2,43,0.43
421,0,-387.1,41,0.43
422,0,-206.8,33,0.429
423,0,-484.6,41,0.428
424,100,-394.4,48,0.427
425,200,-349.5,37,0.426
426,0,-224.2,32,0.425
427,700,-192.0,59,0.424
428,0,-194.3,34,0.424
429,100,-516.4,41,0.423
430,200,-122.6,33,0.422
431,100,-151.9,29,0.421
432,200,-227.9,37,0.42
433,0,-231.6,45,0.419
434,0,-255.1,28,0.419
435,100,-377.9,35,0.418
436,0,-141.8,28,0.417
437,300,-114.4,35,0.416
438,0,-182.7,20,0.415
439,0,-493.2,33,0.414
440,200,-564.5,49,0.414
441,100,-300.0,39,0.413
442,0,-240.4,36,0.412
443,0,-484.6,45,0.411
444,0,-189.0,33,0.41
445,0,-192.6,29,0.409
446,100,-202.7,38,0.409
447,0,-368.5,40,0.408
448,0,-396.8,33,0.407
449,0,-401.0,46,0.406
450,100,-153.3,31,0.405
451,600,-267.0,56,0.405
452,0,-168.8,31,0.404
453,100,-199.0,35,0.403
454,100,-412.3,41,0.402
455,100,-326.8,38,0.401
456,0,-104.4,22,0.401
457,200,-269.8,38,0.4
458,200,-252.7,37,0.399
459,0,-409.5,40,0.398
460,600,-333.1,64,0.397
461,0,-288.6,41,0.397
462,0,-121.2,31,0.396
463,100,-366.5,46,0.395
464,0,-250.6,36,0.394
465,100,-192.5,44,0.393
466,100,-281.5,44,0.393
467,200,-392.4,41,0.392
468,0,-267.7,28,0.391
469,100,-351.8,51,0.39
470,300,-383.9,43,0.389
471,100,-397.6,42,0.389
472,100,-293.9,44,0.388
473,0,-404.8,39,0.387
474,500,-161.1,44,0.386
475,0,-303.5,43,0.386
476,0,-205.5,35,0.385
477,300,-378.6,47,0.384
478,100,-238.3,40,0.383
479,100,-342.8,36,0.383
480,300,-258.8,45,0.382
481,0,-350.0,36,0.381
482,0,-177.3,40,0.38
483,0,-413.8,37,0.379
484,0,-427.0,44,0.379
485,400,-262.0,47,0.378
486,100,-188.0,42,0.377
487,100,-238.4,35,0.376
488,600,3.7,43,0.376
489,0,-205.6,21,0.375
490,100,-296.1,37,0.374
491,0,-255.6,39,0.373
492,0,-291.1,42,0.373
493,300,-419.7,50,0.372
494,100,-469.8,47,0.371
495,100,-287.3,39,0.37
496,100,-222.4,43,0.37
497,100,-230.5,36,0.369
498,300,-353.7,49,0.368
499,300,-316.0,50,0.368
500,700,-120.4,60,0.367
501,0,-575.4,36,0.366
502,0,-317.2,42,0.365
503,500,-172.4,49,0.365
504,200,-323.1,49,0.364
505,0,-332.0,44,0.363
506,200,-269.5,45,0.362
507,100,-282.4,32,0.362
508,900,-263.2,74,0.361
509,500,-251.2,50,0.36
510,100,-247.8,34,0.36
511,100,-457.3,40,0.359
512,0,-317.0,34,0.358
513,0,-238.1,27,0.357
514,0,-217.8,26,0.357
515,0,-271.2,38,0.356
516,600,-362.7,63,0.355
517,600,-85.9,51,0.355
518,0,-115.5,17,0.354
519,300,-243.0,46,0.353
520,0,-258.7,39,0.352
521,0,-140.5,37,0.352
522,100,-519.2,36,0.351
523,300,-368.1,50,0.35
524,300,-298.2,46,0.35
525,300,-274.7,50,0.349
526,200,-341.8,47,0.348
527,500,-187.5,46,0.347
528,800,-160.4,58,0.347
529,200,-228.1,33,0.346
530,400,-255.9,52,0.345
531,300,-309.7,51,0.345
532,0,-208.6,33,0.344
533,300,-413.9,46,0.343
534,0,-342.3,44,0.343
535,500,-286.1,48,0.342
536,0,-449.8,38,0.341
537,100,-260.4,42,0.341
538,700,-275.1,48,0.34
539,0,-376.3,38,0.339
540,100,-315.6,35,0.339
541,400,-501.8,58,0.338
542,900,-360.8,73,0.337
543,400,-245.0,50,0.337
544,100,-339.1,39,0.336
545,0,-287.2,42,0.335
546,0,-213.6,32,0.335
547,500,-392.5,56,0.334
548,0,-335.5,30,0.333
549,500,-120.1,51,0.333
550,200,-516.1,37,0.332
551,300,-274.1,48,0.331
552,100,-322.9,42,0.331
553,200,-528.1,48,0.33
554,0,-190.4,36,0.329
555,300,-331.5,52,0.329
556,100,-237.4,41,0.328
557,300,-383.8,44,0.327
558,0,-199.9,41,0.327
559,0,-263.0,34,0.326
560,200,-171.7,35,0.325
561,900,72.7,59,0.325
562,400,-271.3,57,0.324
563,0,-128.0,35,0.323
564,200,-354.9,43,0.323
565,100,-386.5,37,0.322
566,200,-224.7,38,0.321
567,300,-307.6,48,0.321
568,400,-206.9,51,0.32
569,100,-397.0,37,0.319
570,500,-117.0,39,0.319
571,0,-240.6,37,0.318
572,100,-330.7,37,0.318
573,0,-207.1,36,0.317
574,0,-409.6,29,0.316
575,300,-168.9,39,0.316
576,1000,-338.0,80,0.315
577,300,-230.7,46,0.314
578,500,-437.5,53,0.314
579,200,-309.5,36,0.313
580,100,-423.6,50,0.312
581,200,-171.9,40,0.312
582,0,-269.8,35,0.311
583,500,-184.4,56,0.311
584,300,-137.6,46,0.31
585,400,-110.8,45,0.309
586,0,-318.4,34,0.309
587,100,-243.6,34,0.308
588,300,-506.2,47,0.308
589,500,-79.4,47,0.307
590,0,-298.2,35,0.306
591,0,-261.0,31,0.306
592,600,-165.0,58,0.305
593,0,-353.9,42,0.304
594,300,-210.7,50,0.304
595,1200,-20.8,70,0.303
596,500,-324.8,60,0.303
597,0,-284.9,39,0.302
598,500,-444.8,64,0.301
599,400,-254.2,50,0.301
600,100,-475.3,45,0.3
601,200,-214.4,49,0.3
602,400,-96.1,52,0.299
603,400,-182.4,41,0.298
604,1200,-579.7,84,0.298
605,0,-420.0,41,0.297
606,100,-146.4,26,0.297
607,0,-206.8,42,0.296
608,800,64.0,57,0.295
609,200,-121.8,39,0.295
610,0,-181.9,40,0.294
611,400,-171.6,49,0.294
612,400,-498.9,52,0.293
613,200,-129.9,34,0.293
614,0,-218.3,35,0.292
615,0,-244.8,41,0.291
616,400,-196.5,48,0.291
617,600,-583.1,67,0.29
618,100,-178.1,36,0.29
619,100,-235.5,43,0.289
620,200,-175.1,42,0.288
621,100,-310.3,45,0.288
622,200,-186.0,36,0.287
623,0,-429.3,43,0.287
624,100,-193.6,31,0.286
625,100,-400.3,43,0.286
626,0,-373.9,32,0.285
627,600,-275.8,52,0.284
628,100,-255.2,37,0.284
629,300,-305.0,53,0.283
630,0,-216.7,42,0.283
631,200,-146.3,45,0.282
632,200,-287.5,40,0.282
633,100,-296.7,42,0.281
634,100,-310.8,44,0.28
635,100,-318.1,35,0.28
636,200,-243.9,49,0.279
637,300,-501.9,59,0.279
638,300,-251.0,48,0.278
639,500,-224.3,58,0.278
640,200,-262.8,51,0.277
641,400,-256.2,57,0.277
642,100,-154.1,27,0.276
643,0,-181.2,30,0.275
644,300,-263.1,53,0.275
645,0,-315.2,41,0.274
646,0,-359.4,43,0.274
647,1200,64.6,70,0.273
648,100,-312.2,42,0.273
649,400,-238.9,52,0.272
650,0,-287.2,34,0.272
651,0,-196.5,36,0.271
652,100,-339.7,46,0.271
653,400,-187.7,46,0.27
654,500,-278.3,56,0.269
655,200,-377.4,44,0.269
656,400,-434.7,53,0.268
657,400,-400.5,58,0.268
658,400,-147.9,53,0.267
659,500,-111.1,47,0.267
660,1800,-576.1,99,0.266
661,500,-449.0,56,0.266
662,1200,-276.5,75,0.265
663,400,-134.2,38,0.265
664,100,-221.1,46,0.264
665,1900,-64.5,97,0.264
666,100,-237.3,32,0.263
667,500,-115.5,50,0.263
668,400,-392.6,51,0.262
